"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"1","0.000000","3.88.183.122","175.214.89.175","ICMP","1066","483473494349414c566c344141325a73595763756347356eâ\200\246","Echo (ping) reply    id=0x49f1, seq=1/256, ttl=44"
"2","1.023993","3.88.183.122","175.214.89.175","ICMP","1066","612b594338434a7034644a6b6b394f6d52393464396d6832â\200\246","Echo (ping) reply    id=0x49f1, seq=2/512, ttl=44"
"3","2.047927","3.88.183.122","175.214.89.175","ICMP","1066","504a714458385548473231664c336e684872776245624a75â\200\246","Echo (ping) reply    id=0x49f1, seq=3/768, ttl=44"
"4","3.071983","3.88.183.122","175.214.89.175","ICMP","1066","7271734868637a0a69386651787435696b537571574c356eâ\200\246","Echo (ping) reply    id=0x49f1, seq=4/1024, ttl=44"
"5","4.095961","3.88.183.122","175.214.89.175","ICMP","1066","4a414f622b45595272796255772b4449757454324a665456â\200\246","Echo (ping) reply    id=0x49f1, seq=5/1280, ttl=44"
"6","5.120029","3.88.183.122","175.214.89.175","ICMP","1066","58576d426f6a42356457765547676c6d5834736642476a54â\200\246","Echo (ping) reply    id=0x49f1, seq=6/1536, ttl=44"
"7","6.143993","3.88.183.122","175.214.89.175","ICMP","1066","6a323539616a672b6a7334315570450a786535746f61624aâ\200\246","Echo (ping) reply    id=0x49f1, seq=7/1792, ttl=44"
"8","7.167996","3.88.183.122","175.214.89.175","ICMP","1066","637a31353642554378736c4779356950615652636e35345aâ\200\246","Echo (ping) reply    id=0x49f1, seq=8/2048, ttl=44"
"9","8.191978","3.88.183.122","175.214.89.175","ICMP","1066","6137446f584e71692f76494e37526470677730575a496273â\200\246","Echo (ping) reply    id=0x49f1, seq=9/2304, ttl=44"
"10","9.216000","3.88.183.122","175.214.89.175","ICMP","1066","42362b69766e3839587578366e387475384f355853366a0aâ\200\246","Echo (ping) reply    id=0x49f1, seq=10/2560, ttl=44"
"11","10.240030","3.88.183.122","175.214.89.175","ICMP","1066","0a76553830754b4833707944704569564543364d7a765870â\200\246","Echo (ping) reply    id=0x49f1, seq=11/2816, ttl=44"
"12","11.264004","3.88.183.122","175.214.89.175","ICMP","1066","4f4858362b4a394f35393051797a67684b335865394c2f71â\200\246","Echo (ping) reply    id=0x49f1, seq=12/3072, ttl=44"
"13","12.289216","3.88.183.122","175.214.89.175","ICMP","1066","39512b41695a2b4f733449466b4e4730466c48674f4c4459â\200\246","Echo (ping) reply    id=0x49f1, seq=13/3328, ttl=44"
"14","13.311918","3.88.183.122","175.214.89.175","ICMP","1066","4d434c4a444550370a333938385672706f5855626170716dâ\200\246","Echo (ping) reply    id=0x49f1, seq=14/3584, ttl=44"
"15","14.335869","3.88.183.122","175.214.89.175","ICMP","1066","6c336b414e517750794b7853414a6b555068336e4b646a68â\200\246","Echo (ping) reply    id=0x49f1, seq=15/3840, ttl=44"
"16","15.360008","3.88.183.122","175.214.89.175","ICMP","1066","57524d4f597154345773743137535a33757162376a4e494eâ\200\246","Echo (ping) reply    id=0x49f1, seq=16/4096, ttl=44"
"17","16.383921","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=17/4352, ttl=44"
"18","17.407815","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=18/4608, ttl=44"
"19","18.431831","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=19/4864, ttl=44"
"20","19.455960","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=20/5120, ttl=44"
"21","20.480082","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=21/5376, ttl=44"
"22","21.504359","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=22/5632, ttl=44"
"23","22.527951","3.88.183.122","175.214.89.175","ICMP","1066","000000000000000000000000000000000000000000000000â\200\246","Echo (ping) reply    id=0x49f1, seq=23/5888, ttl=44"
